"substrate","od_wave","set","plate","well","tp","sheet","od","sample","evolved","population","blank","sd_blank","od_cor","time"
"dml-alpha-glycerol phosphate",590,"set_1",4,"H_2","T5","Sheet1",0.294,"10","with_community","wt-b3",0.04,0.000894427190999917,0.254,5
"dml-alpha-glycerol phosphate",590,"set_2",11,"H_6","T5","Sheet1",0.456,"32","without_community","wt-2",0.04,0.000894427190999917,0.416,5
"dml-alpha-glycerol phosphate",590,"set_1",6,"H_2","T6","Sheet1",0.28,"16","with_community","wt-b4",0.04,0.000894427190999917,0.24,6
"dml-alpha-glycerol phosphate",590,"set_2",3,"H_6","T5","Sheet1",0.289,"8","with_community","wt-b2",0.04,0.000894427190999917,0.249,5
"dml-alpha-glycerol phosphate",590,"set_3",7,"H_10","T4","Sheet1",0.307,"21","with_community","wt-b6",0.04,0.000894427190999917,0.267,4
"dml-alpha-glycerol phosphate",590,"set_2",12,"H_6","T6","Sheet1",0.468,"35","without_community","wt-3",0.04,0.000894427190999917,0.428,6
"dml-alpha-glycerol phosphate",590,"set_3",18,"H_10","T4","Sheet1",0.346,"anc1","ancestor","ancestor",0.04,0.000894427190999917,0.306,4
"dml-alpha-glycerol phosphate",590,"set_3",15,"H_10","T4","Sheet1",0.044,"45","without_community","wt-6",0.04,0.000894427190999917,0.004,4
"dml-alpha-glycerol phosphate",590,"set_1",8,"H_2","T5","Sheet1",0.342,"22","with_community","wt-b6",0.04,0.000894427190999917,0.302,5
"dml-alpha-glycerol phosphate",590,"set_2",17,"H_6","T4","Sheet1",0.345,"anc2","ancestor","ancestor",0.04,0.000894427190999917,0.305,4
"dml-alpha-glycerol phosphate",590,"set_1",5,"H_2","T5","Sheet1",0.335,"13","with_community","wt-b4",0.04,0.000894427190999917,0.295,5
"dml-alpha-glycerol phosphate",590,"set_1",13,"H_2","T6","Sheet1",0.455,"37","without_community","wt-4",0.04,0.000894427190999917,0.415,6
"dml-alpha-glycerol phosphate",590,"set_2",16,"H_6","T5","Sheet1",0.362,"47","without_community","wt-6",0.04,0.000894427190999917,0.322,5
"dml-alpha-glycerol phosphate",590,"set_3",14,"H_10","T5","Sheet1",0.392,"42","without_community","wt-5",0.04,0.000894427190999917,0.352,5
"dml-alpha-glycerol phosphate",590,"set_1",9,"H_2","T5","Sheet1",0.459,"25","without_community","wt-1",0.04,0.000894427190999917,0.419,5
"dml-alpha-glycerol phosphate",590,"set_3",9,"H_10","T6","Sheet1",0.5,"27","without_community","wt-1",0.04,0.000894427190999917,0.46,6
"dml-alpha-glycerol phosphate",590,"set_2",15,"H_6","T6","Sheet1",0.3,"44","without_community","wt-5",0.04,0.000894427190999917,0.26,6
"dml-alpha-glycerol phosphate",590,"set_1",1,"H_2","T6","Sheet1",0.297,"1","with_community","wt-b1",0.04,0.000894427190999917,0.257,6
"dml-alpha-glycerol phosphate",590,"set_1",16,"H_2","T4","Sheet1",0.334,"46","without_community","wt-6",0.04,0.000894427190999917,0.294,4
"dml-alpha-glycerol phosphate",590,"set_1",11,"H_2","T6","Sheet1",0.374,"31","without_community","wt-2",0.04,0.000894427190999917,0.334,6
"dml-alpha-glycerol phosphate",590,"set_2",12,"H_6","T4","Sheet1",0.473,"35","without_community","wt-3",0.04,0.000894427190999917,0.433,4
"dml-alpha-glycerol phosphate",590,"set_2",8,"H_6","T4","Sheet1",0.262,"23","with_community","wt-b6",0.04,0.000894427190999917,0.222,4
"dml-alpha-glycerol phosphate",590,"set_1",11,"H_2","T4","Sheet1",0.428,"31","without_community","wt-2",0.04,0.000894427190999917,0.388,4
"dml-alpha-glycerol phosphate",590,"set_3",10,"H_10","T4","Sheet1",0.435,"30","without_community","wt-2",0.04,0.000894427190999917,0.395,4
"dml-alpha-glycerol phosphate",590,"set_1",14,"H_2","T6","Sheet1",0.365,"40","without_community","wt-4",0.04,0.000894427190999917,0.325,6
"dml-alpha-glycerol phosphate",590,"set_3",18,"H_10","T6","Sheet1",0.288,"anc1","ancestor","ancestor",0.04,0.000894427190999917,0.248,6
"dml-alpha-glycerol phosphate",590,"set_3",10,"H_10","T6","Sheet1",0.352,"30","without_community","wt-2",0.04,0.000894427190999917,0.312,6
"dml-alpha-glycerol phosphate",590,"set_1",12,"H_2","T5","Sheet1",0.497,"34","without_community","wt-3",0.04,0.000894427190999917,0.457,5
"dml-alpha-glycerol phosphate",590,"set_2",11,"H_6","T4","Sheet1",0.484,"32","without_community","wt-2",0.04,0.000894427190999917,0.444,4
"dml-alpha-glycerol phosphate",590,"set_2",13,"H_6","T4","Sheet1",0.494,"38","without_community","wt-4",0.04,0.000894427190999917,0.454,4
"dml-alpha-glycerol phosphate",590,"set_3",15,"H_10","T6","Sheet1",0.043,"45","without_community","wt-6",0.04,0.000894427190999917,0.003,6
"dml-alpha-glycerol phosphate",590,"set_1",13,"H_2","T4","Sheet1",0.522,"37","without_community","wt-4",0.04,0.000894427190999917,0.482,4
"dml-alpha-glycerol phosphate",590,"set_2",8,"H_6","T6","Sheet1",0.192,"23","with_community","wt-b6",0.04,0.000894427190999917,0.152,6
"dml-alpha-glycerol phosphate",590,"set_3",17,"H_10","T4","Sheet1",0.307,"anc3","ancestor","ancestor",0.04,0.000894427190999917,0.267,4
"dml-alpha-glycerol phosphate",590,"set_2",1,"H_6","T6","Sheet1",0.304,"2","with_community","wt-b1",0.04,0.000894427190999917,0.264,6
"dml-alpha-glycerol phosphate",590,"set_3",1,"H_10","T6","Sheet1",0.223,"3","with_community","wt-b1",0.04,0.000894427190999917,0.183,6
"dml-alpha-glycerol phosphate",590,"set_1",4,"H_2","T4","Sheet1",0.3,"10","with_community","wt-b3",0.04,0.000894427190999917,0.26,4
"dml-alpha-glycerol phosphate",590,"set_3",12,"H_10","T4","Sheet1",0.452,"36","without_community","wt-3",0.04,0.000894427190999917,0.412,4
"dml-alpha-glycerol phosphate",590,"set_2",9,"H_6","T5","Sheet1",0.652,"26","without_community","wt-1",0.04,0.000894427190999917,0.612,5
"dml-alpha-glycerol phosphate",590,"set_1",11,"H_2","T5","Sheet1",0.405,"31","without_community","wt-2",0.04,0.000894427190999917,0.365,5
"dml-alpha-glycerol phosphate",590,"set_1",3,"H_2","T5","Sheet1",0.282,"7","with_community","wt-b2",0.04,0.000894427190999917,0.242,5
"dml-alpha-glycerol phosphate",590,"set_2",4,"H_6","T5","Sheet1",0.276,"11","with_community","wt-b3",0.04,0.000894427190999917,0.236,5
"dml-alpha-glycerol phosphate",590,"set_3",14,"H_10","T4","Sheet1",0.382,"42","without_community","wt-5",0.04,0.000894427190999917,0.342,4
"dml-alpha-glycerol phosphate",590,"set_2",14,"H_6","T4","Sheet1",0.437,"41","without_community","wt-5",0.04,0.000894427190999917,0.397,4
"dml-alpha-glycerol phosphate",590,"set_3",1,"H_10","T4","Sheet1",0.29,"3","with_community","wt-b1",0.04,0.000894427190999917,0.25,4
"dml-alpha-glycerol phosphate",590,"set_3",3,"H_10","T5","Sheet1",0.319,"9","with_community","wt-b3",0.04,0.000894427190999917,0.279,5
"dml-alpha-glycerol phosphate",590,"set_3",16,"H_10","T5","Sheet1",0.297,"48","without_community","wt-6",0.04,0.000894427190999917,0.257,5
"dml-alpha-glycerol phosphate",590,"set_3",7,"H_10","T6","Sheet1",0.259,"21","with_community","wt-b6",0.04,0.000894427190999917,0.219,6
"dml-alpha-glycerol phosphate",590,"set_1",16,"H_2","T6","Sheet1",0.294,"46","without_community","wt-6",0.04,0.000894427190999917,0.254,6
"dml-alpha-glycerol phosphate",590,"set_3",4,"H_10","T4","Sheet1",0.269,"12","with_community","wt-b3",0.04,0.000894427190999917,0.229,4
"dml-alpha-glycerol phosphate",590,"set_2",10,"H_6","T4","Sheet1",0.516,"29","without_community","wt-2",0.04,0.000894427190999917,0.476,4
"dml-alpha-glycerol phosphate",590,"set_1",15,"H_2","T5","Sheet1",0.426,"43","without_community","wt-5",0.04,0.000894427190999917,0.386,5
"dml-alpha-glycerol phosphate",590,"set_1",18,"H_2","T5","Sheet1",0.346,"anc4","ancestor","ancestor",0.04,0.000894427190999917,0.306,5
"dml-alpha-glycerol phosphate",590,"set_2",18,"H_6","T5","Sheet1",0.368,"anc5","ancestor","ancestor",0.04,0.000894427190999917,0.328,5
"dml-alpha-glycerol phosphate",590,"set_1",12,"H_2","T6","Sheet1",0.447,"34","without_community","wt-3",0.04,0.000894427190999917,0.407,6
"dml-alpha-glycerol phosphate",590,"set_1",9,"H_2","T6","Sheet1",0.409,"25","without_community","wt-1",0.04,0.000894427190999917,0.369,6
"dml-alpha-glycerol phosphate",590,"set_3",16,"H_10","T6","Sheet1",0.263,"48","without_community","wt-6",0.04,0.000894427190999917,0.223,6
"dml-alpha-glycerol phosphate",590,"set_1",15,"H_2","T6","Sheet1",0.356,"43","without_community","wt-5",0.04,0.000894427190999917,0.316,6
"dml-alpha-glycerol phosphate",590,"set_2",4,"H_6","T4","Sheet1",0.264,"11","with_community","wt-b3",0.04,0.000894427190999917,0.224,4
"dml-alpha-glycerol phosphate",590,"set_1",7,"H_2","T5","Sheet1",0.337,"19","with_community","wt-b5",0.04,0.000894427190999917,0.297,5
"dml-alpha-glycerol phosphate",590,"set_2",14,"H_6","T6","Sheet1",0.371,"41","without_community","wt-5",0.04,0.000894427190999917,0.331,6
"dml-alpha-glycerol phosphate",590,"set_2",18,"H_6","T6","Sheet1",0.315,"anc5","ancestor","ancestor",0.04,0.000894427190999917,0.275,6
"dml-alpha-glycerol phosphate",590,"set_1",7,"H_2","T4","Sheet1",0.319,"19","with_community","wt-b5",0.04,0.000894427190999917,0.279,4
"dml-alpha-glycerol phosphate",590,"set_1",15,"H_2","T4","Sheet1",0.396,"43","without_community","wt-5",0.04,0.000894427190999917,0.356,4
"dml-alpha-glycerol phosphate",590,"set_2",16,"H_6","T4","Sheet1",0.362,"47","without_community","wt-6",0.04,0.000894427190999917,0.322,4
"dml-alpha-glycerol phosphate",590,"set_3",7,"H_10","T5","Sheet1",0.362,"21","with_community","wt-b6",0.04,0.000894427190999917,0.322,5
"dml-alpha-glycerol phosphate",590,"set_1",1,"H_2","T5","Sheet1",0.333,"1","with_community","wt-b1",0.04,0.000894427190999917,0.293,5
"dml-alpha-glycerol phosphate",590,"set_2",6,"H_6","T5","Sheet1",0.336,"17","with_community","wt-b5",0.04,0.000894427190999917,0.296,5
"dml-alpha-glycerol phosphate",590,"set_1",14,"H_2","T4","Sheet1",0.443,"40","without_community","wt-4",0.04,0.000894427190999917,0.403,4
"dml-alpha-glycerol phosphate",590,"set_2",6,"H_6","T6","Sheet1",0.246,"17","with_community","wt-b5",0.04,0.000894427190999917,0.206,6
"dml-alpha-glycerol phosphate",590,"set_2",8,"H_6","T5","Sheet1",0.277,"23","with_community","wt-b6",0.04,0.000894427190999917,0.237,5
"dml-alpha-glycerol phosphate",590,"set_3",5,"H_10","T4","Sheet1",0.333,"15","with_community","wt-b4",0.04,0.000894427190999917,0.293,4
"dml-alpha-glycerol phosphate",590,"set_3",14,"H_10","T6","Sheet1",0.359,"42","without_community","wt-5",0.04,0.000894427190999917,0.319,6
"dml-alpha-glycerol phosphate",590,"set_3",17,"H_10","T6","Sheet1",0.287,"anc3","ancestor","ancestor",0.04,0.000894427190999917,0.247,6
"dml-alpha-glycerol phosphate",590,"set_3",12,"H_10","T5","Sheet1",0.434,"36","without_community","wt-3",0.04,0.000894427190999917,0.394,5
"dml-alpha-glycerol phosphate",590,"set_2",14,"H_6","T5","Sheet1",0.425,"41","without_community","wt-5",0.04,0.000894427190999917,0.385,5
"dml-alpha-glycerol phosphate",590,"set_3",4,"H_10","T5","Sheet1",0.276,"12","with_community","wt-b3",0.04,0.000894427190999917,0.236,5
"dml-alpha-glycerol phosphate",590,"set_1",10,"H_2","T5","Sheet1",0.409,"28","without_community","wt-1",0.04,0.000894427190999917,0.369,5
"dml-alpha-glycerol phosphate",590,"set_2",2,"H_6","T6","Sheet1",0.293,"5","with_community","wt-b2",0.04,0.000894427190999917,0.253,6
"dml-alpha-glycerol phosphate",590,"set_3",4,"H_10","T6","Sheet1",0.226,"12","with_community","wt-b3",0.04,0.000894427190999917,0.186,6
"dml-alpha-glycerol phosphate",590,"set_2",15,"H_6","T5","Sheet1",0.357,"44","without_community","wt-5",0.04,0.000894427190999917,0.317,5
"dml-alpha-glycerol phosphate",590,"set_2",2,"H_6","T5","Sheet1",0.368,"5","with_community","wt-b2",0.04,0.000894427190999917,0.328,5
"dml-alpha-glycerol phosphate",590,"set_3",9,"H_10","T5","Sheet1",0.55,"27","without_community","wt-1",0.04,0.000894427190999917,0.51,5
"dml-alpha-glycerol phosphate",590,"set_1",1,"H_2","T4","Sheet1",0.356,"1","with_community","wt-b1",0.04,0.000894427190999917,0.316,4
"dml-alpha-glycerol phosphate",590,"set_3",16,"H_10","T4","Sheet1",0.304,"48","without_community","wt-6",0.04,0.000894427190999917,0.264,4
"dml-alpha-glycerol phosphate",590,"set_3",6,"H_10","T5","Sheet1",0.332,"18","with_community","wt-b5",0.04,0.000894427190999917,0.292,5
"dml-alpha-glycerol phosphate",590,"set_3",9,"H_10","T4","Sheet1",0.527,"27","without_community","wt-1",0.04,0.000894427190999917,0.487,4
"dml-alpha-glycerol phosphate",590,"set_2",5,"H_6","T4","Sheet1",0.344,"14","with_community","wt-b4",0.04,0.000894427190999917,0.304,4
"dml-alpha-glycerol phosphate",590,"set_3",11,"H_10","T6","Sheet1",0.046,"33","without_community","wt-3",0.04,0.000894427190999917,0.006,6
"dml-alpha-glycerol phosphate",590,"set_3",11,"H_10","T4","Sheet1",0.045,"33","without_community","wt-3",0.04,0.000894427190999917,0.005,4
"dml-alpha-glycerol phosphate",590,"set_3",2,"H_10","T4","Sheet1",0.298,"6","with_community","wt-b2",0.04,0.000894427190999917,0.258,4
"dml-alpha-glycerol phosphate",590,"set_3",13,"H_10","T6","Sheet1",0.368,"39","without_community","wt-4",0.04,0.000894427190999917,0.328,6
"dml-alpha-glycerol phosphate",590,"set_1",5,"H_2","T6","Sheet1",0.311,"13","with_community","wt-b4",0.04,0.000894427190999917,0.271,6
"dml-alpha-glycerol phosphate",590,"set_1",18,"H_2","T4","Sheet1",0.329,"anc4","ancestor","ancestor",0.04,0.000894427190999917,0.289,4
"dml-alpha-glycerol phosphate",590,"set_2",17,"H_6","T6","Sheet1",0.295,"anc2","ancestor","ancestor",0.04,0.000894427190999917,0.255,6
"dml-alpha-glycerol phosphate",590,"set_1",4,"H_2","T6","Sheet1",0.246,"10","with_community","wt-b3",0.04,0.000894427190999917,0.206,6
"dml-alpha-glycerol phosphate",590,"set_2",1,"H_6","T5","Sheet1",0.317,"2","with_community","wt-b1",0.04,0.000894427190999917,0.277,5
"dml-alpha-glycerol phosphate",590,"set_1",3,"H_2","T6","Sheet1",0.25,"7","with_community","wt-b2",0.04,0.000894427190999917,0.21,6
"dml-alpha-glycerol phosphate",590,"set_2",7,"H_6","T4","Sheet1",0.392,"20","with_community","wt-b5",0.04,0.000894427190999917,0.352,4
"dml-alpha-glycerol phosphate",590,"set_2",7,"H_6","T6","Sheet1",0.262,"20","with_community","wt-b5",0.04,0.000894427190999917,0.222,6
"dml-alpha-glycerol phosphate",590,"set_2",9,"H_6","T6","Sheet1",0.601,"26","without_community","wt-1",0.04,0.000894427190999917,0.561,6
"dml-alpha-glycerol phosphate",590,"set_3",2,"H_10","T5","Sheet1",0.264,"6","with_community","wt-b2",0.04,0.000894427190999917,0.224,5
"dml-alpha-glycerol phosphate",590,"set_1",6,"H_2","T4","Sheet1",0.312,"16","with_community","wt-b4",0.04,0.000894427190999917,0.272,4
"dml-alpha-glycerol phosphate",590,"set_3",13,"H_10","T4","Sheet1",0.413,"39","without_community","wt-4",0.04,0.000894427190999917,0.373,4
"dml-alpha-glycerol phosphate",590,"set_3",17,"H_10","T5","Sheet1",0.327,"anc3","ancestor","ancestor",0.04,0.000894427190999917,0.287,5
